Id,Locality,House or appartment?,Subtype,Price,Type of sale,Number of rooms,Living area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of terrace,Garden,Area of garden,Land surface,Number of facades,Swimming pool,State of building
10311774,Scherpenheuvel,APARTMENT,GROUND_FLOOR,271000.0,BUY_REGULAR,2.0,82.0,1,None,0,1,18,1,58,None,,None,
10311773,Scherpenheuvel,APARTMENT,GROUND_FLOOR,281000.0,BUY_REGULAR,2.0,90.0,1,None,0,1,15,1,31,None,,None,
10301643,Ternat,HOUSE,HOUSE,229000.0,BUY_REGULAR,2.0,120.0,0,None,0,1,25,1,300,240,3,None,AS_NEW
10306961,Haacht,APARTMENT,APARTMENT,305000.0,BUY_REGULAR,2.0,98.0,0,None,0,1,None,None,None,,2,None,AS_NEW
10306951,Londerzeel,HOUSE,TOWN_HOUSE,384000.0,BUY_REGULAR,2.0,155.0,1,None,0,1,25,None,None,126,3,0,AS_NEW
10303782,Glabbeek,HOUSE,VILLA,390000.0,BUY_REGULAR,5.0,165.0,0,None,0,1,None,None,None,1470,4,None,JUST_RENOVATED
10290051,Dilbeek,HOUSE,HOUSE,349000.0,BUY_REGULAR,3.0,125.0,0,None,0,1,25,1,120,315,3,None,
10297041,Sint-Pieters-Leeuw,HOUSE,HOUSE,350000.0,BUY_REGULAR,3.0,,0,None,0,None,None,None,None,0,2,None,JUST_RENOVATED
10298895,Halle,APARTMENT,APARTMENT,274000.0,BUY_REGULAR,2.0,120.0,0,None,0,1,7,None,None,None,2,0,
10294169,Lennik,HOUSE,HOUSE,466768.0,BUY_REGULAR,12.0,440.0,None,None,0,1,None,None,None,400,2,0,TO_RENOVATE
10294158,OETINGEN,HOUSE,HOUSE,439000.0,BUY_REGULAR,3.0,186.0,0,None,1,1,45,1,None,377,3,None,GOOD
10281734,SINT-GENESIUS-RODE,HOUSE,HOUSE,378000.0,BUY_REGULAR,3.0,202.0,0,None,0,None,None,None,None,549,3,None,TO_RENOVATE
10311772,Scherpenheuvel,APARTMENT,GROUND_FLOOR,298000.0,BUY_REGULAR,2.0,95.0,1,None,0,1,18,1,37,None,,None,
10138352,Asse,HOUSE,HOUSE,329000.0,BUY_REGULAR,9.0,235.0,1,None,0,None,None,None,None,174,3,None,GOOD
10284790,Aarschot,APARTMENT,APARTMENT,199000.0,BUY_REGULAR,1.0,82.0,0,None,0,None,None,None,None,,,None,GOOD
10306932,Aarschot,APARTMENT,DUPLEX,305000.0,BUY_REGULAR,2.0,,None,None,0,1,None,None,None,None,3,0,AS_NEW
10303746,Tienen,HOUSE,HOUSE,850000.0,BUY_REGULAR,8.0,442.0,0,None,0,None,None,1,2755,2755,4,0,
10290032,Kapelle-op-den-Bos,HOUSE,BUNGALOW,495000.0,BUY_REGULAR,4.0,164.0,0,None,1,1,23,1,450,8860,4,0,TO_BE_DONE_UP
10297027,Liedekerke,APARTMENT,DUPLEX,320000.0,BUY_REGULAR,2.0,113.0,0,None,0,1,25,None,None,None,3,None,GOOD
10298777,Tremelo,HOUSE,HOUSE,449000.0,BUY_REGULAR,2.0,156.0,0,None,0,1,None,1,1200,1200,4,None,GOOD
10298764,SINT-PIETERS-LEEUW,HOUSE,HOUSE,295000.0,BUY_REGULAR,2.0,120.0,0,None,0,None,None,1,22,0,None,None,None
10298763,Zaventem,HOUSE,HOUSE,1050000.0,BUY_REGULAR,7.0,490.0,None,None,0,1,None,1,800,985,None,None,None
10309341,Scherpenheuvel-Zichem,HOUSE,HOUSE,237000.0,BUY_REGULAR,2.0,180.0,None,None,0,1,None,1,248,248,2,None,GOOD
10281728,Opwijk,HOUSE,VILLA,925000.0,BUY_REGULAR,2.0,,0,None,1,None,None,None,None,3688,4,None,GOOD
10311771,Scherpenheuvel,APARTMENT,APARTMENT,256000.0,BUY_REGULAR,2.0,83.0,1,None,0,1,22,None,None,None,,None,
10301612,Kraainem,HOUSE,HOUSE,2750000.0,BUY_REGULAR,6.0,650.0,0,None,0,1,None,None,None,5127,4,1,TO_BE_DONE_UP
